ensembl_gene_id,external_gene_name
ENSG00000075218,GTSE1
ENSG00000136108,CKAP2
ENSG00000088325,TPX2
ENSG00000157456,CCNB2
ENSG00000175063,UBE2C
ENSG00000087586,AURKA
ENSG00000129195,PIMREG
ENSG00000080986,NDC80
ENSG00000112742,TTK
ENSG00000188229,TUBB4B
ENSG00000139354,GAS2L3
ENSG00000131747,TOP2A
ENSG00000092140,G2E3
ENSG00000138160,KIF11
ENSG00000164104,HMGB2
ENSG00000126787,DLGAP5
ENSG00000137807,KIF23
ENSG00000100401,RANGAP1
ENSG00000137804,NUSAP1
ENSG00000178999,AURKB
ENSG00000120802,TMPO
ENSG00000143228,NUF2
ENSG00000158402,CDC25C
ENSG00000117650,NEK2
ENSG00000123485,HJURP
ENSG00000189159,JPT1
ENSG00000013810,TACC3
ENSG00000089685,BIRC5
ENSG00000123975,CKS2
ENSG00000138778,CENPE
ENSG00000170312,CDK1
ENSG00000094916,CBX5
ENSG00000010292,NCAPD2
ENSG00000072571,HMMR
ENSG00000114346,ECT2
ENSG00000111665,CDCA3
ENSG00000142945,KIF2C
ENSG00000102974,CTCF
ENSG00000184661,CDCA2
ENSG00000148773,MKI67
ENSG00000138182,KIF20B
ENSG00000169679,BUB1
ENSG00000117399,CDC20
ENSG00000011426,ANLN
ENSG00000143815,LBR
ENSG00000173207,CKS1B
ENSG00000175216,CKAP5
ENSG00000169607,CKAP2L
ENSG00000113810,SMC4
ENSG00000134222,PSRC1
ENSG00000115163,CENPA
ENSG00000143401,ANP32E
ENSG00000117724,CENPF
ENSG00000134690,CDCA8
